DS_ID,DATASOURCE,UNIPROT_ID,GENE_SYMBOL,GENE_NAME,GENE_SYNONYMS,BIOMOLECULE_TYPE
,UniProtKB,Q6ZYK7,PTGS2,EGF-like domain-containing protein,PTGS2|COX-2,protein
,UniProtKB,Q708E3,MYB,"V-myb myeloblastosis viral oncogene homolog (Avian), isoform CRA_e",MYB|c-myb|hCG_32380,protein
,UniProtKB,Q708E6,MYB,"C-myb v-myb myeloblastosis viral oncogene homologue (avian), exon 1 and joined CDS",MYB|c-myb|hCG_32380,protein
,UniProtKB,Q709A9,TFEB,MiT/TFE transcription factors N-terminal domain-containing protein,TFEB,protein
,UniProtKB,Q70T24,TRPC7,Transient receptor ion channel domain-containing protein,TRPC7,protein
,UniProtKB,Q70T25,TRPC7,Transient receptor ion channel domain-containing protein,TRPC7,protein
,UniProtKB,Q70YC4,ZNF365,Talanin,ZNF365|KIAA0844,protein
,UniProtKB,J3QKV7,DRG2,Developmentally regulated GTP binding protein 2,DRG2,protein
,UniProtKB,J3QKW1,AKT2,AKT serine/threonine kinase 2,AKT2,protein
,UniProtKB,J3QKW2,MRPS7,Ribosomal protein S7 domain-containing protein,MRPS7,protein
,UniProtKB,J3QKW5,CDH8,Cadherin domain-containing protein,CDH8,protein
,UniProtKB,J3QKW7,DRG2,OBG-type G domain-containing protein,DRG2,protein
,UniProtKB,J3QKW8,CLUL1,Clusterin,CLUL1,protein
,UniProtKB,J3QKX0,BRIP1,Helicase ATP-binding domain-containing protein,BRIP1,protein
,UniProtKB,J3QKX5,MEP1B,Meprin A subunit,MEP1B|hCG_25081,protein
,UniProtKB,J3QKX6,SMARCE1,HMG box domain-containing protein,SMARCE1,protein
,UniProtKB,J3QKY3,NFE2L1,BZIP domain-containing protein,NFE2L1,protein
,UniProtKB,J3QKY7,ZNF624,KRAB domain-containing protein,ZNF624,protein
,UniProtKB,J3QKY8,FAM222B,Protein FAM222B,FAM222B,protein
,UniProtKB,J3QKY9,COG1,Conserved oligomeric Golgi complex subunit 1,COG1,protein
,UniProtKB,J3QKZ2,CTRB1,Peptidase S1 domain-containing protein,CTRB1,protein
,UniProtKB,J3QKZ4,FLOT2,Flotillin,FLOT2,protein
,UniProtKB,J3QKZ5,C19orf47,DUF5577 domain-containing protein,C19orf47,protein
,UniProtKB,J3QKZ6,CYBC1,Essential for reactive oxygen species protein,CYBC1,protein
,UniProtKB,J3QKZ9,EIF4A1,ATP-dependent RNA helicase,EIF4A1,protein
,UniProtKB,J3QL01,RPL38,Large ribosomal subunit protein eL38,RPL38,protein
,UniProtKB,J3QL02,CNDP2,Carnosine dipeptidase 2,CNDP2,protein
,UniProtKB,J3QL03,SKA2,Spindle and kinetochore-associated protein 2,SKA2,protein
,UniProtKB,J3QL04,ASPSCR1,TUG ubiquitin-like domain-containing protein,ASPSCR1,protein
,UniProtKB,J3QL05,SRSF2,RRM domain-containing protein,SRSF2,protein
,UniProtKB,J3QL06,HYOU1,Hypoxia up-regulated protein 1,HYOU1,protein
,UniProtKB,J3QL08,ELAC2,ribonuclease Z,ELAC2,protein
,UniProtKB,J3QL14,ATP6V0D1,ATPase H+ transporting V0 subunit d1,ATP6V0D1,protein
,UniProtKB,J3QL17,DDX25,RNA helicase,DDX25,protein
,UniProtKB,J3QL19,CD226,Ig-like domain-containing protein,CD226,protein
,UniProtKB,J3QL20,CLTC,Clathrin heavy chain,CLTC,protein
,UniProtKB,J3QL21,SLC46A1,Solute carrier family 46 member 1,SLC46A1,protein
,UniProtKB,J3QL24,PYCR1,pyrroline-5-carboxylate reductase,PYCR1,protein
,UniProtKB,J3QL29,TMEM241,Transmembrane protein 241,TMEM241,protein
,UniProtKB,J3QL31,NDEL1,NudE neurodevelopment protein 1 like 1,NDEL1,protein
,UniProtKB,J3QL32,PYCR1,Pyrroline-5-carboxylate reductase 1,PYCR1|hCG_38803,protein
,UniProtKB,J3QL33,NAT9,N-acetyltransferase domain-containing protein,NAT9,protein
,UniProtKB,J3QL34,DCXR,Dicarbonyl and L-xylulose reductase,DCXR,protein
,UniProtKB,J3QL35,ANAPC11,Anaphase-promoting complex subunit 11 RING-H2 finger domain-containing protein,ANAPC11,protein
,UniProtKB,J3QL36,SENP3,Ubiquitin-like protease family profile domain-containing protein,SENP3,protein
,UniProtKB,J3QL39,PFAS,Phosphoribosylformylglycinamidine synthase,PFAS,protein
,UniProtKB,J3QL40,SLC16A5,Major facilitator superfamily (MFS) profile domain-containing protein,SLC16A5,protein
,UniProtKB,J3QL41,CDH3,Cadherin 3,CDH3,protein
,UniProtKB,J3QL43,EIF4A1,ATP-dependent RNA helicase,EIF4A1,protein
,UniProtKB,J3QL45,AKT2,AKT serine/threonine kinase 2,AKT2,protein
,UniProtKB,J3QL47,TVP23C,Golgi apparatus membrane protein TVP23 homolog,TVP23C,protein
